Name,location,State,Fee per Year
IIT Madras - Indian Institute of Technology - [IITM], Chennai, Tamil Nadu,"₹ 2,09,550"
IIT Delhi - Indian Institute of Technology [IITD], New Delhi, Delhi NCR,"₹ 2,54,650"
IIT Bombay - Indian Institute of Technology - [IITB], Mumbai, Maharashtra,"₹ 2,29,300"
IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur, West Bengal,"₹ 2,23,600"
RNS Institute of Technology - [RNSIT], Bangalore, Karnataka,"₹ 1,16,765"
IIT Kanpur - Indian Institute of Technology - [IITK], Kanpur, Uttar Pradesh,"₹ 2,29,200"
Parul University, Vadodara, Gujarat,"₹ 1,37,800"
IIT Roorkee - Indian Institute of Technology - [IITR], Roorkee, Uttarakhand,"₹ 2,30,100"
BITS Pilani (Pilani Campus), Pilani, Rajasthan,"₹ 5,71,575"
IIT Guwahati - Indian Institute of Technology - [IITG], Guwahati, Assam,"₹ 2,19,250"
Sir Padampat Singhania University - [SPSU], Udaipur, Rajasthan,"₹ 1,70,000"
IIT Hyderabad - Indian Institute of Technology - [IITH], Hyderabad, Telangana,"₹ 2,41,550"
New Horizon College of Engineering - [NHCE], Bangalore, Karnataka,"₹ 10,00,000"
College of Engineering, Anna University - [CEG], Tamil Nadu,"₹ 47,200"
GSFC University, Vadodara, Gujarat,"₹ 1,16,250"
NIT Trichy, Tiruchirappalli, Tamil Nadu,"₹ 1,74,950"
IIT BHU - Indian Institute of Technology, Varanasi, Uttar Pradesh,"₹ 2,28,315"
Institute of Chemical Technology - [ICT], Mumbai, Maharashtra,"₹ 89,100"
CMR University - [CMRU], Bangalore, Karnataka,"₹ 2,25,000"
IIT Indore - Indian Institute of Technology - [IITI], Indore, Madhya Pradesh,"₹ 2,33,900"
Mody University, Sikar, Rajasthan,"₹ 2,66,000"
Jadavpur University - [JU], Kolkata, West Bengal,"₹ 10,000"
RNB Global University - [RNBGU], Bikaner, Rajasthan,"₹ 1,15,000"
ISM Dhanbad - Indian Institute of Technology - [IITISM], Dhanbad, Jharkhand,"₹ 2,40,250"
Bennett University, Greater Noida, Uttar Pradesh,"₹ 4,25,000"
National Institute of Technology - [NIT], Rourkela, Orissa,"₹ 1,78,000"
IIT Bhubaneswar - Indian Institute of Technology - [IITBBS], Bhubaneswar, Orissa,"₹ 2,21,290"
Vellore Institute of Technology - [VIT University], Vellore, Tamil Nadu,"₹ 1,98,000"
Indian Institute of Engineering Science and Technology - [IIEST] Shibpur, Howrah, West Bengal,"₹ 1,42,000"
IIT Mandi- Indian Institute of Technology - [IITM], Mandi, Himachal Pradesh,"₹ 2,34,750"
East Point Group of Institutions - [EPGI], Bangalore, Karnataka,"₹ 2,50,000"
National Institute of Technology - [NITK], Surathkal, Karnataka,"₹ 1,57,280"
IIT Patna - Indian Institute of Technology - [IITP], Patna, Bihar,"₹ 2,70,250"
Thapar Institute of Engineering and Technology - [Thapar University], Patiala, Punjab,"₹ 4,13,600"
IIT Gandhinagar - Indian Institute of Technology - [IITG], Gandhinagar, Gujarat,"₹ 2,29,426"
NIT Warangal, Warangal, Telangana,"₹ 2,07,000"
Delhi Technological University - [DTU], New Delhi, Delhi NCR,"₹ 2,29,300"
Jamia Millia Islamia University-[JMI], New Delhi, Delhi NCR,"₹ 16,150"
National Institute of Technology - [NITC], Calicut, Kerala,"₹ 3,08,255"
IIT Ropar - Indian Institute of Technology - [IITR], Ropar, Punjab,"₹ 2,22,300"
